1495332083
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.9   14.8   95.7 1081.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001405d0
    0.9   14.8   95.8 1077.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000139Fd0
    0.9   14.8   95.1 1085.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001407d0
    0.9   14.8   95.3 1082.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001385d0
    0.9   14.8   95.2 1085.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D5d0
    0.9   14.8   95.1 1075.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013FCd0
    0.9   14.8   95.4 1080.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F2d0
    0.9   14.8   95.3 1083.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001384d0
    0.9   14.8   94.8 1085.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013ACd0
    0.9   14.8   95.9 1081.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001395d0
    0.9   14.8   95.3 1079.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A6d0
    0.9   14.8   95.5 1080.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013E2d0
    0.9   14.8   95.3 1085.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001382d0
    0.9   14.8   95.1 1078.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013AEd0
    0.9   14.8   94.6 1079.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D9d0
    0.9   14.8   94.8 1082.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013C5d0
    0.9   14.8   95.1 1077.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013C8d0
    0.9   14.8   95.4 1078.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000139Dd0
    0.9   14.8   95.4 1085.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013B3d0
    0.9   14.8   96.1 1082.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013B9d0
    0.9   14.8   95.5 1084.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013BBd0
    0.9   14.7   95.3 1075.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013EBd0
    0.9   14.7   95.6 1078.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013E6d0
    0.9   14.8   95.4 1077.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013E4d0
    0.9   14.8   95.0 1081.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D0d0
    0.9   14.8   95.7 1089.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013B8d0
    0.9   14.8   95.6 1080.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013FAd0
    0.9   14.8   95.1 1080.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013C0d0
    0.9   14.8   95.0 1079.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000138Dd0
    0.9   14.8   96.2 1080.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D4d0
    0.9   14.8   95.4 1083.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013C9d0
    0.9   14.8   95.3 1086.5  0.0  0.1    0.0    3.5   0   5 c0t60060E8007DC48000030DC480000139Bd0
    0.9   14.8   95.6 1087.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A8d0
    0.9   14.8   94.8 1077.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F1d0
    0.9   14.8   96.2 1079.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013B7d0
    0.9   14.7   95.2 1074.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001391d0
    0.9   14.8   95.4 1085.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001394d0
    0.9   14.8   94.8 1083.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F8d0
    0.9   14.8   95.4 1079.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001401d0
    0.9   14.8   95.3 1082.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013FEd0
    0.9   14.8   95.1 1084.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D2d0
    0.9   14.8   95.4 1085.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001386d0
    0.9   14.8   95.0 1086.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013EFd0
    0.9   14.8   95.0 1083.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013BFd0
    0.9   14.8   95.7 1082.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001399d0
    0.9   14.8   95.3 1079.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013DFd0
    0.9   14.8   94.8 1078.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013CBd0
    0.9   14.8   95.2 1082.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001389d0
    0.9   14.7   94.8 1073.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F5d0
    0.9   14.8   95.5 1083.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D8d0
    0.9   14.8   95.2 1083.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013FFd0
    0.9   14.8   95.8 1082.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001396d0
    0.9   14.8   95.2 1080.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013DBd0
    0.9   14.7   95.8 1075.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001381d0
    0.9   14.8   94.8 1083.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F3d0
    0.9   14.8   95.6 1087.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013ABd0
    0.9   14.8   95.6 1080.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A5d0
    0.9   14.8   95.9 1084.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F9d0
    0.9   14.8   96.0 1085.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013C4d0
    0.9   14.8   95.4 1084.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013FDd0
    0.9   14.8   95.1 1078.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013EEd0
