datetime	kernel	exec_and_libs	anon	guest	page_cache	zfs_metadata	zfs_file_data	free_cachelist	free_freelist	total
2015-07-08 04:00:13	53472342835	20078972108	78383153152	0	7408818585	8267812044	652727654809	20293720473	257375915212	1098437885952
2015-07-08 04:00:43	53472342835	20078972108	78383153152	0	7730941132	8267812044	652727654809	20186346291	257161166848	1098437885952
2015-07-08 04:01:13	53472342835	20078972108	78490527334	0	5153960755	8267812044	652727654809	19756849561	260060269772	1098437885952
2015-07-08 04:01:43	53472342835	20078972108	78490527334	0	4080218931	8375186227	652727654809	17287243366	263496243609	1098437885952
2015-07-08 04:02:13	53472342835	20078972108	78490527334	0	4402341478	8375186227	652727654809	17179869184	263174121062	1098437885952
2015-07-08 04:02:43	53472342835	20078972108	78597901516	0	4724464025	8375186227	652727654809	17072495001	262851998515	1098437885952
2015-07-08 04:03:13	53472342835	20078972108	78597901516	0	4617089843	8375186227	652727654809	17716740096	262422501785	1098437885952
2015-07-08 04:03:43	53472342835	20078972108	78597901516	0	4939212390	8375186227	652727654809	17609365913	262207753420	1098437885952
2015-07-08 04:04:13	53472342835	20078972108	78597901516	0	5153960755	8375186227	652727654809	17501991731	262100379238	1098437885952
2015-07-08 04:04:43	53472342835	20078972108	79027398246	0	5368709120	8375186227	652727654809	17394617548	261563508326	1098437885952
2015-07-08 04:05:13	53472342835	20078972108	78920024064	0	5583457484	8375186227	652727654809	17501991731	261241385779	1098437885952
2015-07-08 04:05:43	53472342835	20078972108	78597901516	0	5368709120	8375186227	652727654809	17931488460	261456134144	1098437885952
2015-07-08 04:06:13	53472342835	20078972108	78597901516	0	6120328396	8375186227	652727654809	17824114278	260811889049	1098437885952
2015-07-08 04:06:43	53472342835	20078972108	78597901516	0	6442450944	8375186227	652727654809	17716740096	260597140684	1098437885952
2015-07-08 04:07:13	53472342835	20078972108	78705275699	0	6549825126	8375186227	652727654809	17716740096	260382392320	1098437885952
2015-07-08 04:07:43	53472342835	20078972108	78597901516	0	6227702579	8375186227	652727654809	18146236825	260275018137	1098437885952
2015-07-08 04:08:13	53472342835	20401094656	78920024064	0	6549825126	8375186227	652727654809	17716740096	259738147225	1098437885952
2015-07-08 04:08:43	53472342835	20078972108	78597901516	0	6871947673	8375186227	652727654809	18038862643	259738147225	1098437885952
2015-07-08 04:09:13	53472342835	20078972108	78383153152	0	7086696038	8375186227	652727654809	17931488460	259952895590	1098437885952
2015-07-08 04:09:43	53472342835	20078972108	78275778969	0	6335076761	8375186227	652727654809	18790481920	259845521408	1098437885952
2015-07-08 04:10:13	53472342835	20078972108	78275778969	0	6549825126	8375186227	652727654809	18683107737	259738147225	1098437885952
2015-07-08 04:10:43	53472342835	20078972108	78275778969	0	6871947673	8375186227	652727654809	18575733555	259523398860	1098437885952
2015-07-08 04:11:13	53472342835	20078972108	78383153152	0	7086696038	8375186227	652727654809	18468359372	259416024678	1098437885952
2015-07-08 04:11:43	53472342835	20078972108	78383153152	0	6549825126	8375186227	652727654809	19219978649	259308650496	1098437885952
2015-07-08 04:12:13	53472342835	20078972108	78383153152	0	6871947673	8375186227	652727654809	19005230284	259093902131	1098437885952
2015-07-08 04:12:43	53472342835	20078972108	78383153152	0	7086696038	8375186227	652727654809	18897856102	258879153766	1098437885952
